instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
KANTILAN	KANTILAN_SANGSIH	e?=	DENG	1	MUTED	0.25	0.0	NONE	[27]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	e?_	DENG	1	MUTED	0.5	0.0	NONE	[27]	GK KANTILAN ROOT		0.5
UGAL	UGAL	e?=	DENG	1	MUTED	0.25	0.0	NONE	[27]	GK UGAL ROOT		0.25
UGAL	UGAL	e?_	DENG	1	MUTED	0.5	0.0	NONE	[27]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	e?=	DENG	1	MUTED	0.25	0.0	NONE	[66]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	e?_	DENG	1	MUTED	0.5	0.0	NONE	[66]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	e?=	DENG	1	MUTED	0.25	0.0	NONE	[35]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	e?_	DENG	1	MUTED	0.5	0.0	NONE	[35]	GK GENDER ROOT		0.5
REYONG	REYONG_2	e?=	DENG	1	MUTED	0.25	0.0	NONE	[30]	GK REYONG ROOT		0.25
REYONG	REYONG_2	e?_	DENG	1	MUTED	0.5	0.0	NONE	[30]	GK REYONG ROOT		0.5
REYONG	REYONG_3	e?=	DENG	1	MUTED	0.25	0.0	NONE	[30]	GK REYONG ROOT		0.25
REYONG	REYONG_3	e?_	DENG	1	MUTED	0.5	0.0	NONE	[30]	GK REYONG ROOT		0.5
JEGOGAN	JEGOGAN	e=	DENG	1	OPEN	0.25	0.0	NONE	[3]	GK JEGOGAN ROOT		0.25
JEGOGAN	JEGOGAN	e_	DENG	1	OPEN	0.5	0.0	NONE	[3]	GK JEGOGAN ROOT		0.5
CALUNG	CALUNG	e=	DENG	1	OPEN	0.25	0.0	NONE	[3]	GK CALUNG ROOT	GK CALUNG DENG2.wav	0.25
CALUNG	CALUNG	e_	DENG	1	OPEN	0.5	0.0	NONE	[3]	GK CALUNG ROOT	GK CALUNG DENG2.wav	0.5
PENYACAH	PENYACAH	e=	DENG	1	OPEN	0.25	0.0	NONE	[25]	GK PENYACAH ROOT		0.25
PENYACAH	PENYACAH	e_	DENG	1	OPEN	0.5	0.0	NONE	[25]	GK PENYACAH ROOT		0.5
PEMADE	PEMADE_POLOS	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK KANTILAN ROOT		0.5
UGAL	UGAL	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK UGAL ROOT		0.25
UGAL	UGAL	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	e=	DENG	1	OPEN	0.25	0.0	NONE	[44]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	e_	DENG	1	OPEN	0.5	0.0	NONE	[44]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	e=	DENG	1	OPEN	0.25	0.0	NONE	[7]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	e_	DENG	1	OPEN	0.5	0.0	NONE	[7]	GK GENDER ROOT		0.5
REYONG	REYONG_2	e=	DENG	1	OPEN	0.25	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	0.25
REYONG	REYONG_2	e_	DENG	1	OPEN	0.5	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	0.5
REYONG	REYONG_3	e=	DENG	1	OPEN	0.25	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	0.25
REYONG	REYONG_3	e_	DENG	1	OPEN	0.5	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	0.5
TROMPONG	TROMPONG	e</=	DENG	2	ABBREVIATED	0.25	0.0	NONE	[60]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	e</_	DENG	2	ABBREVIATED	0.5	0.0	NONE	[60]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	e</=	DENG	2	ABBREVIATED	0.25	0.0	NONE	[26]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	e</_	DENG	2	ABBREVIATED	0.5	0.0	NONE	[26]	GK GENDER ROOT		0.5
REYONG	REYONG_4	e</=	DENG	2	ABBREVIATED	0.25	0.0	NONE	[23]	GK REYONG ROOT		0.25
REYONG	REYONG_4	e</_	DENG	2	ABBREVIATED	0.5	0.0	NONE	[23]	GK REYONG ROOT		0.5
TROMPONG	TROMPONG	e<?=	DENG	2	MUTED	0.25	0.0	NONE	[71]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	e<?_	DENG	2	MUTED	0.5	0.0	NONE	[71]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	e<?=	DENG	2	MUTED	0.25	0.0	NONE	[40]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	e<?_	DENG	2	MUTED	0.5	0.0	NONE	[40]	GK GENDER ROOT		0.5
REYONG	REYONG_4	e<?=	DENG	2	MUTED	0.25	0.0	NONE	[35]	GK REYONG ROOT		0.25
REYONG	REYONG_4	e<?_	DENG	2	MUTED	0.5	0.0	NONE	[35]	GK REYONG ROOT		0.5
TROMPONG	TROMPONG	e<=	DENG	2	OPEN	0.25	0.0	NONE	[49]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	e<_	DENG	2	OPEN	0.5	0.0	NONE	[49]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	e<=	DENG	2	OPEN	0.25	0.0	NONE	[12]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	e<_	DENG	2	OPEN	0.5	0.0	NONE	[12]	GK GENDER ROOT		0.5
