instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
GONG_KEBYAR	UGAL		DENG	0	GRACE_NOTE		2	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	0	OPEN		3	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	0	GRACE_NOTE		3	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	0	OPEN		4	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	0	GRACE_NOTE		4	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	1	OPEN		5	GK UGAL ROOT	GK UGAL DING2.wav
GONG_KEBYAR	UGAL		DING	1	GRACE_NOTE		5	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	1	OPEN		6	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	1	GRACE_NOTE		6	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	1	OPEN		7	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	1	GRACE_NOTE		7	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	1	OPEN		8	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	1	GRACE_NOTE		8	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	1	OPEN		9	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	1	GRACE_NOTE		9	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	2	OPEN		10	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	2	GRACE_NOTE		10	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	0	ABBREVIATED		11	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	0	ABBREVIATED		12	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	0	ABBREVIATED		13	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	0	ABBREVIATED		14	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	1	ABBREVIATED		15	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	1	ABBREVIATED		16	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	1	ABBREVIATED		17	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	1	ABBREVIATED		18	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	1	ABBREVIATED		19	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	2	ABBREVIATED		20	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	0	MUTED		21	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	0	MUTED		22	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	0	MUTED		23	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	0	MUTED		24	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	1	MUTED		25	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	1	MUTED		26	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	1	MUTED		27	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DUNG	1	MUTED		28	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DANG	1	MUTED		29	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DING	2	MUTED		30	GK UGAL ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	OPEN		41	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	GRACE_NOTE		41	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	OPEN		42	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	GRACE_NOTE		42	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	OPEN		43	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	GRACE_NOTE		43	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	OPEN		44	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	GRACE_NOTE		44	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	OPEN		45	GK TROMPONG ROOT	GK TROMPONG DUNG2.wav
GONG_KEBYAR	TROMPONG		DUNG	1	GRACE_NOTE		45	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	OPEN		46	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	GRACE_NOTE		46	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	OPEN		47	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	GRACE_NOTE		47	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	OPEN		48	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	GRACE_NOTE		48	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	OPEN		49	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	GRACE_NOTE		49	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	OPEN		50	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	GRACE_NOTE		50	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	OPEN		51	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	GRACE_NOTE		51	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	ABBREVIATED		52	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	ABBREVIATED		53	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	ABBREVIATED		54	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	ABBREVIATED		55	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	ABBREVIATED		56	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	ABBREVIATED		57	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	ABBREVIATED		58	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	ABBREVIATED		59	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	ABBREVIATED		60	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	ABBREVIATED		61	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	ABBREVIATED		62	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	MUTED		63	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	MUTED		64	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	MUTED		65	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	MUTED		66	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	MUTED		67	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	MUTED		68	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	MUTED		69	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	MUTED		70	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	MUTED		71	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	MUTED		72	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	MUTED		73	GK TROMPONG ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	OPEN		1	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	GRACE_NOTE		1	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	OPEN		2	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	GRACE_NOTE		2	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	OPEN		3	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	GRACE_NOTE		3	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	OPEN		4	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	GRACE_NOTE		4	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	OPEN		5	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	GRACE_NOTE		5	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	OPEN		6	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	GRACE_NOTE		6	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	OPEN		7	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	GRACE_NOTE		7	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	OPEN		8	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	GRACE_NOTE		8	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	OPEN		9	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	GRACE_NOTE		9	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	2	OPEN		10	GK GENDER ROOT	GK GENDER DING3.wav
GONG_KEBYAR	GENDERRAMBAT		DING	2	GRACE_NOTE		10	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	OPEN		11	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	GRACE_NOTE		11	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	OPEN		12	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	GRACE_NOTE		12	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	OPEN		13	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	GRACE_NOTE		13	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	OPEN		14	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	GRACE_NOTE		14	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	ABBREVIATED		15	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	ABBREVIATED		16	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	ABBREVIATED		17	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	ABBREVIATED		18	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	ABBREVIATED		19	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	ABBREVIATED		20	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	ABBREVIATED		21	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	ABBREVIATED		22	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	ABBREVIATED		23	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	2	ABBREVIATED		24	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	ABBREVIATED		25	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	ABBREVIATED		26	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	ABBREVIATED		27	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	ABBREVIATED		28	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED		29	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED		30	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED		31	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED		32	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED		33	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED		34	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED		35	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED		36	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED		37	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED		38	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	MUTED		39	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	MUTED		40	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	MUTED		41	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	MUTED		42	GK GENDER ROOT	
