tag	1	2	3	4	5	6	7	8	9	10	11	12	13
gangsa p	o...	j-z-	ii-o	-iz-	j---	--z-	ii-o	-zi-	oo-e	-io-	ee-u	-eo-
gangsa s	a...	o-e-	uu-a	-ue-	o---	--e-	uu-a	-eu-	aa-8	-ua-	88-u	-8a-

gangsa p	i-i-	i-i-	z-z-	z-z-	j...	..o.	.O--	----
gangsa s	u-u-	u-u-	e-e-	e-e-	o...	..a.	.A--	----

gangsa p	i-i-	i-i-	z-z-	z-z-	j...	..o.	.O--	----
gangsa s	u-u-	u-u-	e-e-	e-e-	o...	..a.	.A--	----

gangsa p	....	....	....	....	....	....	....	....
gangsa s	....	....	....	....	....	....	....	....

gangsa p	i.i.	izz.	z.z.	zjj.	j.j.	joo.	o.o.	oii.
gangsa s	.o.o	.zzi	.i.i	.jjz	.z.z	.ooe	.e.e	.iio

gangsa p	i.i.	izz.	z.z.	zjj.	j.j.	joo.	o.o.	oii.
gangsa s	.o.o	.zzi	.i.i	.jjz	.z.z	.ooe	.e.e	.iio

gangsa p	i.i.	izz.	z.z.	zjj.	j.j.	joo.	o.o.	oii.
gangsa s	.o.o	.zzi	.i.i	.jjz	.z.z	.ooe	.e.e	.iio

gangsa p	i.i.	izz.	z.z.	zjj.	j.j.	joo.	o.o.	oii.
gangsa s	.o.o	.zzi	.i.i	.jjz	.z.z	.ooe	.e.e	.iio

gangsa p	i.i.	izz.	z.z.	zjj.	j.j.	joo.	o.o.	oii.
gangsa s	.o.o	.zzi	.i.i	.jjz	.z.z	.ooe	.e.e	.iio

gangsa p	i.i.	izz.	z...	
gangsa s	.o.o	.zzi	....	

metadata	{"type": "tempo-change", "factor": 0.66, "steps": 2}
gangsa p	....	....	z-z-	Z.z.
gangsa s	....	....	e-e-	E.e.

metadata	{"type": "tempo-change", "factor": 0.5, "steps": 6}
gangsa p	Z...	....	.zzi	zizi	zJjz	j---	-jzi	oeoe	oIio	i---
gangsa s	E...	....	.eeu	eueu	eOoe	o---	-oeu	a8a8	aUua	u---
