tag	infile	positions
reyong24B	Lentetijd (Krishna).xlsx	[REYONG_2, REYONG_4]
reyong24C	Lentetijd (Krishna).xlsx	[REYONG_2, REYONG_4]
reyong3	Sidakarya.xlsx	[REYONG_3]
reyong34	Gilak Penutup.xlsx	[REYONG_3, REYONG_4]
reyong34*	Gilak Penutup.xlsx	[REYONG_3, REYONG_4]
reyong4	Sidakarya.xlsx	[REYONG_4]
reyongC	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
tr/ga/ca	Lengker.xlsx	[TROMPONG, CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga/ca	Godek miring.xlsx	[CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
trompong	Sinom Ladrang.xlsx	[TROMPONG]
ug / ga	Pendet.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ug/ga4/ca	Telek (Ubud).xlsx	[UGAL, CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ug/gang p	Tarik Becak.xlsx	[UGAL, PEMADE_POLOS, KANTILAN_POLOS]
ugal	Topeng Tua.xlsx	[UGAL]
ugal / ga4	Manuk Rawa.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal+ga4	Kebyar Ding.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/ga	Telek (Ubud).xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/ga.p	Murniati.xlsx	[UGAL, PEMADE_POLOS, KANTILAN_POLOS]
ugal/ga4	Tarik Becak.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/gang	Tarik Becak.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/jeg	Liar Samas.xlsx	[JEGOGAN, UGAL]
GANGSA		[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
