symbol	unicode	symbol_description	balifont_symbol_description	value	duration	rest_after	description
'	0x00b4	apostrophe	dash single macron	EXTENSION	0.5	0.0	extends note by half duration
"	0x00a8	quotation mark	dash double macron	EXTENSION	0.25	0.0	extends note by quarter duration
#	0x0023	sharp	e overdot slashed	DENG2_MUTED	0.125	0.875	deng2 muted
&	0x0026	ampersand	u overdot slashed	DUNG2_MUTED	0.125	0.875	dung2 muted
(	0x0028	left round bracket	o overdot slashed	DONG2_MUTED	0.125	0.875	dong2 muted
*	0x002a	asterisk	i (with dot) slashed	DING2_MUTED	0.125	0.875	ding2 muted
-	0x002d	hyphen	dash	EXTENSION	1.0	0.0	extends note duration
.	0x002e	period	dot	SILENCE	1.0	0.0	silence (muted note) open
/	0x002f	forward slash	slash	MODIFIER_PREV1	0.25	0.75	long mutes previous note
^	0x0302	circumflex	none currently	MODIFIER_PREV2	0.75	0.25	grace note indicator
3	0x0033	digit 3	e overdot	DENG2	1.0	0.0	deng2 open
7	0x0037	digit 7	u overdot	DUNG2	1.0	0.0	dung2 open
8	0x0038	digit 8	i (with dot)	DING2	1.0	0.0	ding2 open
9	0x0039	digit 9	o overdot	DONG2	1.0	0.0	dong2 open
=	0x003d	equal	space with double	EXTENSION	1.0	0.0	" open"
A	0x0041	uppercase A	a slashed	DANG1_MUTED	0.125	0.875	dang1 muted
B	0x0042	uppercase B	b slashed	JET	0.0	1.0	jet
D	0x0044	uppercase D	e underdot slashed	DENG0_MUTED	0.125	0.875	deng0 muted
E	0x0045	uppercase E	e slashed	DENG1_MUTED	0.125	0.875	deng1 muted
G	0x0047	uppercase G	G	GIR	1.0	0.0	gir
I	0x0049	uppercase I	dotless i slashed	DING1_MUTED	0.125	0.875	ding1 muted
J	0x004a	uppercase J	u underdot slashed	DUNG0_MUTED	0.125	0.875	dung0 muted
K	0x004b	uppercase K	dotless i underdot	DING0	1.0	0.0	ding0 open
L	0x004c	uppercase L	o underdot slashed	DONG0_MUTED	0.125	0.875	dong0 muted
O	0x004f	uppercase O	o slashed	DONG1_MUTED	0.125	0.875	dong1 muted
P	0x0050	uppercase P	P	PUR	1.0	0.0	pur
Q	0x0051	uppercase Q	a overdot slashed	DANG2_MUTED	0.125	0.875	dang2 muted
R	0x0052	uppercase R	e and u combined slashed	DEUNG1_MUTED	0.125	0.875	deung muted
S	0x0053	uppercase S	" a and i combined slashed"	DAING1_MUTED	0.125	0.875	daing muted
T	0x0054	uppercase T	T	TONG	1.0	0.0	tong
U	0x0055	uppercase U	u slashed	DUNG1_MUTED	0.125	0.875	dung1 muted
W	0x0057	uppercase W	W	GIR	1.0	0.0	gir wadon
X	0x0058	uppercase X	" slashed"	TICK_1_PANGGUL	0.125	0.875	tick muted
Y	0x0059	uppercase Y	e underdot	DENG0	1.0	0.0	deng0 open
Z	0x005a	uppercase Z	a underdot slashed	DANG0_MUTED	0.125	0.875	dang0 muted
_	0x005f	underscore	macron	EXTENSION	1.0	0.0	" open"
a	0x0061	lowercase a	a	DANG1	1.0	0.0	dang1 open
b	0x0062	lowercase b	b	BYONG	1.0	0.0	byong
d	0x0064	lowercase d	e underdot	DENG0	1.0	0.0	deng0 open
e	0x0065	lowercase e	e	DENG1	1.0	0.0	deng1 open
g	0x0067	lowercase g	G	GIR	1.0	0.0	gir
i	0x0069	lowercase i	dotless i	DING1	1.0	0.0	ding1 open
j	0x006a	lowercase j	u underdot	DUNG0	1.0	0.0	dung0 open
k	0x006b	lowercase k	dotless i underdot	DING0	1.0	0.0	ding0 open
l	0x006c	lowercase l	o underdot	DONG0	1.0	0.0	dong0 open
m	ox006d	lowercase m	lowercase p	PAK	1.0	0.0	pak open
n	0x006e	lowercase n	lowercase k	KEP	1.0	0.0	kep open
o	0x006f	lowercase o	o	DONG1	1.0	0.0	dong1 open
p	0x0070	lowercase p	P	PUR	1.0	0.0	pur
q	0x0071	lowercase q	a overdot	DANG2	1.0	0.0	dang2 open
r	0x0072	lowercase r	e and u combined	DEUNG1	1.0	0.0	deung open
s	0x0073	lowercase s	a and i combined	DAING1	1.0	0.0	daing open
t	0x0074	lowercase t	T	TONG	1.0	0.0	tong
u	0x0075	lowercase u	u	DUNG1	1.0	0.0	dung1 open
w	0x0077	lowercase w	L	GIR	1.0	0.0	gir lanang
x	0x0078	lowercase x	x	TICK_1_PANGGUL	1.0	0.0	tick open
y	0x0079	lowercase y	a and i combined, underdot	BYONG	1.0	0.0	byong (old notation)
z	0x007a	lowercase z	a underdot	DANG0	1.0	0.0	dang0 open
©	0x00a9	copyright	k	KEP	1.0	0.0	ke open
ª	0x00aa	underlined a superscript	dot with double macron	SILENCE	0.25	0.0	silence quarter duration
«	0x00ab	left double chevron quote	d	DUT	1.0	0.0	dut open
¬	0x00ac	logical not	n	KRUM	1.0	0.0	krum open
®	0x00ae	registered trademark	p	PAK	1.0	0.0	pak open
¯	0x00af	high hyphen	t	DUT	1.0	0.0	dut open
°	0x00b0	degrees	u	PUNG	1.0	0.0	pung open
±	0x00b1	plusminus	k	KEP	1.0	0.0	ke open
²	0x00b2	squared (two superscript)	d	DUT	1.0	0.0	dut open
³	0x00b3	cubed (three superscript)	n	KRUM	1.0	0.0	krum open
µ	0x00b5	mu	dot with single macron	SILENCE	0.5	0.0	silence half duration
¶	0x00b6	at	p	PAK	1.0	0.0	pak open
·	0x00b7	dot	t	DUT	1.0	0.0	dut open
¸	0x00b8	comma	u	PUNG	1.0	0.0	pung open
À	0x00c0	uppercase A grave	a underdot slashed, single macron	DANG0_MUTED	0.1	0.4	dang0 half duration long muted
