instrumentgroup	instrumenttype	positions	note	octave	stroke	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	OPEN	0	108	36	64
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	OPEN	0	109	37	68
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	OPEN	0	110	38	69
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	OPEN	0	111	39	73
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	OPEN	0	112	40	74
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	OPEN	0	113	41	76
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	OPEN	0	114	42	80
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	MUTED	0	103	30	52
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	MUTED	0	104	31	56
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	MUTED	0	105	32	57
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	MUTED	0	106	33	61
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN	0	103	34	52
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	MUTED	0	107	35	62
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	MUTED	0	108	36	64
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	MUTED	0	109	37	68
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	MUTED	0	110	38	69
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	MUTED	0	111	39	73
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	MUTED	0	112	40	74
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	MUTED	0	113	41	76
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	MUTED	0	114	42	80
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		OPEN	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		OPEN	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		OPEN	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		OPEN	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_1]	BYOT		OPEN	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_2]	BYOT		OPEN	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_3]	BYOT		OPEN	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_4]	BYOT		OPEN	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_1]	JET		MUTED	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_2]	JET		MUTED	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_3]	JET		MUTED	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_4]	JET		MUTED	0	117	43	56
GONG_KEBYAR	REYONG		TICK		ONE_PANGGUL	0	118	46	90
GONG_KEBYAR	REYONG		TICK		TWO_PANGGUL	0	119	47	90
GONG_KEBYAR	TROMPONG		DANG	0	OPEN	0	100	0	45
GONG_KEBYAR	TROMPONG		DING	1	OPEN	0	101	0	49
GONG_KEBYAR	TROMPONG		DONG	1	OPEN	0	102	0	50
GONG_KEBYAR	TROMPONG		DENG	1	OPEN	0	103	0	52
