instrumentgroup	instrumenttype	notevalue	midi	pianomidi
SEMAR_PAGULINGAN	CENGCENG	MUTED	5	-1
SEMAR_PAGULINGAN	KENDANG	KAP	6	-1
SEMAR_PAGULINGAN	KENDANG	PEK	7	-1
SEMAR_PAGULINGAN	KENDANG	DAG	8	-1
SEMAR_PAGULINGAN	KENDANG	TUT	9	-1
SEMAR_PAGULINGAN	KENDANG	KRUM	10	-1
SEMAR_PAGULINGAN	KENDANG	PUNG	11	-1
SEMAR_PAGULINGAN	KENDANG	PLAK	12	-1
SEMAR_PAGULINGAN	KENDANG	DAG	13	-1
SEMAR_PAGULINGAN	KENDANG	DUG	14	-1
SEMAR_PAGULINGAN	KENDANG	TAK	15	-1
SEMAR_PAGULINGAN	KENDANG	TEK	16	-1
SEMAR_PAGULINGAN	JEGOGAN	DING1	19	38
SEMAR_PAGULINGAN	JEGOGAN	DONG1	20	39
SEMAR_PAGULINGAN	JEGOGAN	DENG1	21	41
SEMAR_PAGULINGAN	JEGOGAN	DEUNG1	22	43
SEMAR_PAGULINGAN	JEGOGAN	DUNG1	23	44
SEMAR_PAGULINGAN	JEGOGAN	DANG1	24	46
SEMAR_PAGULINGAN	JEGOGAN	DAING1	25	50
SEMAR_PAGULINGAN	CALUNG	DING1	26	51
SEMAR_PAGULINGAN	CALUNG	DONG1	27	53
SEMAR_PAGULINGAN	CALUNG	DENG1	28	55
SEMAR_PAGULINGAN	CALUNG	DEUNG1	29	56
SEMAR_PAGULINGAN	CALUNG	DUNG1	30	58
SEMAR_PAGULINGAN	CALUNG	DANG1	31	62
SEMAR_PAGULINGAN	CALUNG	DAING1	32	63
SEMAR_PAGULINGAN	PEMADE	DING1	40	65
SEMAR_PAGULINGAN	PEMADE	DONG1	41	67
SEMAR_PAGULINGAN	PEMADE	DENG1	42	68
SEMAR_PAGULINGAN	PEMADE	DEUNG1	43	70
SEMAR_PAGULINGAN	PEMADE	DUNG1	44	74
SEMAR_PAGULINGAN	PEMADE	DANG1	45	75
SEMAR_PAGULINGAN	PEMADE	DAING1	46	77
SEMAR_PAGULINGAN	PEMADE	DING1_MUTED	50	65
SEMAR_PAGULINGAN	PEMADE	DONG1_MUTED	51	67
SEMAR_PAGULINGAN	PEMADE	DENG1_MUTED	52	68
SEMAR_PAGULINGAN	PEMADE	DEUNG1_MUTED	53	70
SEMAR_PAGULINGAN	PEMADE	DUNG1_MUTED	54	74
SEMAR_PAGULINGAN	PEMADE	DANG1_MUTED	55	75
SEMAR_PAGULINGAN	PEMADE	DAING1_MUTED	56	77
SEMAR_PAGULINGAN	KANTILAN	DING1	60	79
SEMAR_PAGULINGAN	KANTILAN	DONG1	61	80
SEMAR_PAGULINGAN	KANTILAN	DENG1	62	82
SEMAR_PAGULINGAN	KANTILAN	DEUNG1	63	86
SEMAR_PAGULINGAN	KANTILAN	DUNG1	64	87
SEMAR_PAGULINGAN	KANTILAN	DANG1	65	89
SEMAR_PAGULINGAN	KANTILAN	DAING1	66	91
SEMAR_PAGULINGAN	KANTILAN	DING1_MUTED	70	79
SEMAR_PAGULINGAN	KANTILAN	DONG1_MUTED	71	80
SEMAR_PAGULINGAN	KANTILAN	DENG1_MUTED	72	82
SEMAR_PAGULINGAN	KANTILAN	DEUNG1_MUTED	73	86
SEMAR_PAGULINGAN	KANTILAN	DUNG1_MUTED	74	87
SEMAR_PAGULINGAN	KANTILAN	DANG1_MUTED	75	89
SEMAR_PAGULINGAN	KANTILAN	DAING1_MUTED	76	91
SEMAR_PAGULINGAN	TROMPONG	DING0	100	51
SEMAR_PAGULINGAN	TROMPONG	DONG0	101	53
SEMAR_PAGULINGAN	TROMPONG	DENG0	102	55
SEMAR_PAGULINGAN	TROMPONG	DEUNG0	103	56
SEMAR_PAGULINGAN	TROMPONG	DUNG0	104	58
SEMAR_PAGULINGAN	TROMPONG	DANG0	105	62
SEMAR_PAGULINGAN	TROMPONG	DAING0	106	63
SEMAR_PAGULINGAN	TROMPONG	DING1	107	65
SEMAR_PAGULINGAN	TROMPONG	DONG1	108	67
SEMAR_PAGULINGAN	TROMPONG	DENG1	109	68
SEMAR_PAGULINGAN	TROMPONG	DEUNG1	110	70
SEMAR_PAGULINGAN	TROMPONG	DUNG1	111	74
SEMAR_PAGULINGAN	TROMPONG	DANG1	112	75
SEMAR_PAGULINGAN	TROMPONG	DAING1	113	77
SEMAR_PAGULINGAN	TROMPONG	BYONG	115	-1
SEMAR_PAGULINGAN	TROMPONG	BYOT	116	-1
SEMAR_PAGULINGAN	TROMPONG	JET	117	-1
SEMAR_PAGULINGAN	TROMPONG	TICK_1_PANGGUL	118	-1
SEMAR_PAGULINGAN	TROMPONG	TICK_2_PANGGUL	119	-1
