instrumentgroup	instrumenttype	positions	notevalue	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	TROMPONG		BYOT	0	116	0	56
GONG_KEBYAR	TROMPONG		JET	0	117	0	56
GONG_KEBYAR	TROMPONG		TICK_1_PANGGUL	0	118	0	90
GONG_KEBYAR	TROMPONG		TICK_2_PANGGUL	0	119	0	90
SEMAR_PAGULINGAN	GONGS		GIR	9	0		-1
SEMAR_PAGULINGAN	GONGS		PUR	9	1		-1
SEMAR_PAGULINGAN	GONGS		TONG	9	2		-1
SEMAR_PAGULINGAN	KEMPLI		TICK_1_PANGGUL	9	3		-1
SEMAR_PAGULINGAN	CENGCENG		OPEN	9	4		-1
SEMAR_PAGULINGAN	CENGCENG		MUTED	9	5		-1
SEMAR_PAGULINGAN	KENDANG		KAP	9	6		-1
SEMAR_PAGULINGAN	KENDANG		PEK	9	7		-1
SEMAR_PAGULINGAN	KENDANG		DAG	9	8		-1
SEMAR_PAGULINGAN	KENDANG		TUT	9	9		-1
SEMAR_PAGULINGAN	KENDANG		KRUM	9	10		-1
SEMAR_PAGULINGAN	KENDANG		PUNG	9	11		-1
SEMAR_PAGULINGAN	KENDANG		PLAK	9	12		-1
SEMAR_PAGULINGAN	KENDANG		DAG	9	13		-1
SEMAR_PAGULINGAN	KENDANG		DUG	9	14		-1
SEMAR_PAGULINGAN	KENDANG		TAK	9	15		-1
SEMAR_PAGULINGAN	KENDANG		TEK	9	16		-1
SEMAR_PAGULINGAN	JEGOGAN		DING1	0	19		38
SEMAR_PAGULINGAN	JEGOGAN		DONG1	0	20		39
SEMAR_PAGULINGAN	JEGOGAN		DENG1	0	21		41
SEMAR_PAGULINGAN	JEGOGAN		DEUNG1	0	22		43
SEMAR_PAGULINGAN	JEGOGAN		DUNG1	0	23		44
SEMAR_PAGULINGAN	JEGOGAN		DANG1	0	24		46
SEMAR_PAGULINGAN	JEGOGAN		DAING1	0	25		50
SEMAR_PAGULINGAN	CALUNG		DING1	0	26		51
SEMAR_PAGULINGAN	CALUNG		DONG1	0	27		53
SEMAR_PAGULINGAN	CALUNG		DENG1	0	28		55
SEMAR_PAGULINGAN	CALUNG		DEUNG1	0	29		56
SEMAR_PAGULINGAN	CALUNG		DUNG1	0	30		58
SEMAR_PAGULINGAN	CALUNG		DANG1	0	31		62
SEMAR_PAGULINGAN	CALUNG		DAING1	0	32		63
SEMAR_PAGULINGAN	PEMADE		DING1	0	40		65
SEMAR_PAGULINGAN	PEMADE		DONG1	0	41		67
SEMAR_PAGULINGAN	PEMADE		DENG1	0	42		68
SEMAR_PAGULINGAN	PEMADE		DEUNG1	0	43		70
SEMAR_PAGULINGAN	PEMADE		DUNG1	0	44		74
SEMAR_PAGULINGAN	PEMADE		DANG1	0	45		75
SEMAR_PAGULINGAN	PEMADE		DAING1	0	46		77
SEMAR_PAGULINGAN	PEMADE		DING1_MUTED	0	50		65
SEMAR_PAGULINGAN	PEMADE		DONG1_MUTED	0	51		67
SEMAR_PAGULINGAN	PEMADE		DENG1_MUTED	0	52		68
SEMAR_PAGULINGAN	PEMADE		DEUNG1_MUTED	0	53		70
