instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
SEMAR_PAGULINGAN	PEMADE		DENG	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DEUNG	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DUNG	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DANG	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DAING	1	OPEN			
SEMAR_PAGULINGAN	PEMADE		DING	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DONG	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DENG	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DEUNG	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DUNG	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DANG	1	MUTED			
SEMAR_PAGULINGAN	PEMADE		DAING	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DING	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DONG	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DENG	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DEUNG	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DUNG	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DANG	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DAING	1	OPEN			
SEMAR_PAGULINGAN	KANTILAN		DING	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DONG	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DENG	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DEUNG	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DUNG	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DANG	1	MUTED			
SEMAR_PAGULINGAN	KANTILAN		DAING	1	MUTED			
SEMAR_PAGULINGAN	TROMPONG		DING	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DONG	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DENG	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DEUNG	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DUNG	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DANG	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DAING	0	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DING	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DONG	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DENG	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DEUNG	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DUNG	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DANG	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		DAING	1	OPEN			
SEMAR_PAGULINGAN	TROMPONG		BYONG		OPEN			
SEMAR_PAGULINGAN	TROMPONG		BYOT		OPEN			
SEMAR_PAGULINGAN	TROMPONG		JET		MUTED			
SEMAR_PAGULINGAN	TROMPONG		TICK		OPEN			
SEMAR_PAGULINGAN	TROMPONG		TICK_2_PANGGUL		OPEN			
