instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED		15	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED		16	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED		17	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED		18	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED		19	
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED		20	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN		1	Reyong DENG0.wav
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING	0	OPEN		2	Reyong DENG0-DING1.wav
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	OPEN		3	Reyong DUNG0.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	OPEN		4	Reyong DANG0.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	OPEN		5	Reyong DING1.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	OPEN		6	Reyong DONG1.wav
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	OPEN		7	Reyong DENG1.wav
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	OPEN		8	Reyong DUNG1.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	OPEN		9	Reyong DANG1.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	OPEN		10	Reyong DING2.wav
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	OPEN		11	Reyong DONG2.wav
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	OPEN		12	Reyong DENG2.wav
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	OPEN		13	Reyong DUNG2.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		OPEN		14	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		OPEN		15	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		OPEN		16	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		OPEN		17	Reyong BYONG.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		ABBREVIATED	Byot	18	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		ABBREVIATED	Byot	19	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		ABBREVIATED	Byot	20	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		ABBREVIATED	Byot	21	Reyong BYOT.wav
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		MUTED	Jet	22	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		MUTED	Jet	23	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		MUTED	Jet	24	Reyong JET.wav
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		MUTED	Jet	25	Reyong JET.wav
GONG_KEBYAR	REYONG		TICK		OPEN		26	Reyong TICK_1_PANGGUL.wav
GONG_KEBYAR	REYONG		TICK_2_PANGGUL		OPEN		27	Reyong TICK_2_PANGGUL.wav
GONG_KEBYAR	TROMPONG		DANG	0	OPEN		0	
GONG_KEBYAR	TROMPONG		DING	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DONG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DENG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DUNG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DANG	1	OPEN		0	
GONG_KEBYAR	TROMPONG		DING	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DONG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DENG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DUNG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		DANG	2	OPEN		0	
GONG_KEBYAR	TROMPONG		BYONG		OPEN	byong	0	
GONG_KEBYAR	TROMPONG		BYONG		ABBREVIATED	byot	0	
GONG_KEBYAR	TROMPONG		BYONG		MUTED	jet	0	
GONG_KEBYAR	TROMPONG		TICK		OPEN		0	
GONG_KEBYAR	TROMPONG		TICK_2_PANGGUL		OPEN		0	
