instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
GONG_KEBYAR	TROMPONG		DENG	1	ABBREVIATED		15	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	ABBREVIATED		16	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	ABBREVIATED		17	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	ABBREVIATED		18	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	ABBREVIATED		19	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	ABBREVIATED		20	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	ABBREVIATED		21	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	ABBREVIATED		22	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	MUTED		23	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	MUTED		24	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	MUTED		25	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	MUTED		26	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	MUTED		27	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	MUTED		28	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	MUTED		29	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	MUTED		30	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	MUTED		31	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	MUTED		32	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	MUTED		33	GK TROMPONG ROOT	
SEMAR_PAGULINGAN	GONGS		GIR		OPEN		52	SP GIR	SP Gong.wav
SEMAR_PAGULINGAN	GONGS		PUR		OPEN		53	SP PUR	SP Kempur.wav
SEMAR_PAGULINGAN	GONGS		TONG		OPEN		54	SP TONG	SP Kemong.wav
SEMAR_PAGULINGAN	KEMPLI		STRIKE		MUTED		51	SP KEMPLI	SP Kempli.wav
SEMAR_PAGULINGAN	CENGCENG		OPEN		OPEN		0		
SEMAR_PAGULINGAN	CENGCENG		MUTED		OPEN		0		
SEMAR_PAGULINGAN	KENDANG		KA		OPEN		51	GK KENDANG KA	
SEMAR_PAGULINGAN	KENDANG		PAK		OPEN		52	GK KENDANG PAK	
SEMAR_PAGULINGAN	KENDANG		DE		OPEN		53	GK KENDANG DE	
SEMAR_PAGULINGAN	KENDANG		TUT		OPEN		54	GK KENDANG TUT	
SEMAR_PAGULINGAN	KENDANG		CUNG		OPEN		55	GK KENDANG CUNG	
SEMAR_PAGULINGAN	KENDANG		KUNG		OPEN		56	GK KENDANG KUNG	
SEMAR_PAGULINGAN	KENDANG		PLAK		OPEN		0		
SEMAR_PAGULINGAN	KENDANG		DAG		OPEN		0		
SEMAR_PAGULINGAN	KENDANG		DUG		OPEN		0		
SEMAR_PAGULINGAN	JEGOGAN		DING	1	OPEN		51	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DONG	1	OPEN		52	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DENG	1	OPEN		53	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DEUNG	1	OPEN		54	SP JEGOGAN ROOT	SP JEGOGAN DEUNG1.wav
SEMAR_PAGULINGAN	JEGOGAN		DUNG	1	OPEN		55	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DANG	1	OPEN		56	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DAING	1	OPEN		57	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DING	1	ABBREVIATED		58	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DONG	1	ABBREVIATED		59	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DENG	1	ABBREVIATED		60	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DEUNG	1	ABBREVIATED		61	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DUNG	1	ABBREVIATED		62	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DANG	1	ABBREVIATED		63	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DAING	1	ABBREVIATED		64	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DING	1	MUTED		65	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DONG	1	MUTED		66	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DENG	1	MUTED		67	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DEUNG	1	MUTED		68	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DUNG	1	MUTED		69	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DANG	1	MUTED		70	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	JEGOGAN		DAING	1	MUTED		71	SP JEGOGAN ROOT	
SEMAR_PAGULINGAN	CALUNG		DING	1	OPEN		51	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DONG	1	OPEN		52	SP CALUNG ROOT	
